Timestamp,Semana do Mês 📆,Identifique sua equipe 🧑‍🧑‍🧒‍🧒,Identifique sua célula 🏡,Quantas pessoas participaram da célula nesta semana?,Quantas conversões nesta semana em sua célula?,Qual foi a arregimentação de sua célula no Arena dessa semana?,Qual foi a arregimentação de sua célula no Culto de Domingo dessa semana?,"Parceiros de Deus arrecadados na célula dessa semana? 💰
(Escreva o valor em Reais conforme o exemplo: 75.50)",
3/30/2025 21:41:37,5ᵃ semana (dias 29 a 31),Fonte,Fonte - Vitória,8,0,0,3,1,
3/31/2025 7:44:22,5ᵃ semana (dias 29 a 31),Vox,Vox - Rafa e Bárbara,4,0,2,3,2,
3/31/2025 7:46:56,5ᵃ semana (dias 29 a 31),Ágape,Ágape - José Douglas,7,0,1,10,20,
3/31/2025 7:48:31,5ᵃ semana (dias 29 a 31),Fonte,Fonte - Isadora,5,0,8,4,5,
3/31/2025 9:08:42,5ᵃ semana (dias 29 a 31),Samuel e Simone,Samuel/Simone - Jucilene,11,0,0,4,14.5,
3/31/2025 9:44:43,5ᵃ semana (dias 29 a 31),Fortaleza,Fortaleza - Maiza,10,10,5,4,75.5,
3/31/2025 10:10:03,5ᵃ semana (dias 29 a 31),Vox,Vox - Bianca,4,0,1,3,2,
3/31/2025 10:16:02,5ᵃ semana (dias 29 a 31),Formação Arena,Formação Arena - Theo,7,0,1,0,1,
3/31/2025 11:14:24,5ᵃ semana (dias 29 a 31),Vox,Vox - Eduardo,5,0,5,3,7.5,
3/31/2025 11:35:06,5ᵃ semana (dias 29 a 31),Formação Arena,Formação Arena - Marcos,3,0,1,1,0,
3/31/2025 11:36:09,5ᵃ semana (dias 29 a 31),Formação Arena,Formação Arena - Kadu,4,0,8,5,0,
3/31/2025 12:12:59,5ᵃ semana (dias 29 a 31),Peregrinos,Peregrinos - Rodrigo,0,0,14,10,0,
3/31/2025 12:22:46,5ᵃ semana (dias 29 a 31),Fonte,Fonte - Rafaela,7,3,6,1,0,
3/31/2025 12:24:02,5ᵃ semana (dias 29 a 31),Samuel e Simone,Samuel/Simone - Rayana,5,0,2,1,1,
3/31/2025 12:32:33,4ᵃ semana (dias 22 a 28),Kairós,Kairós - Rose,15,1,0,3,25,
3/31/2025 12:49:19,5ᵃ semana (dias 29 a 31),Formação Arena,Formação Arena - Felipe,10,0,1,1,20,
3/31/2025 13:44:38,4ᵃ semana (dias 22 a 28),Fortaleza,Fortaleza - Jenni e Junior,7,0,7,4,0,
3/31/2025 14:18:10,1ᵃ semana (dias 1 a 7),Fortaleza,Fortaleza - Sara Raquel,5,0,2,0,20,
3/31/2025 15:16:18,5ᵃ semana (dias 29 a 31),Ágape,Ágape - Celomar,7,0,0,6,15,
3/31/2025 18:53:22,5ᵃ semana (dias 29 a 31),Formação Arena,Formação Arena - Lindomar,1,1,1,0,10,
3/31/2025 18:59:55,1ᵃ semana (dias 1 a 7),Peregrinos,Peregrinos - Wellington,3,0,3,0,8,
3/31/2025 19:14:45,5ᵃ semana (dias 29 a 31),Vox,Vox - Emanuel e Jamilly,14,0,0,4,0,
4/6/2025 19:05:10,1ᵃ semana (dias 1 a 7),Formação Arena,Formação Arena - Kadu,0,0,10,5,0,
4/6/2025 20:19:08,1ᵃ semana (dias 1 a 7),Vox,Vox - Rafa e Bárbara,4,0,2,2,5,
4/6/2025 20:19:37,1ᵃ semana (dias 1 a 7),Kairós,Kairós - Kelly,3,0,1,4,25.95,
4/6/2025 20:20:29,1ᵃ semana (dias 1 a 7),Ágape,Ágape - Celomar,9,1,0,5,28,
4/6/2025 20:23:10,1ᵃ semana (dias 1 a 7),Vox,Vox - Emanuel e Jamilly,9,0,0,4,0,
4/6/2025 20:23:47,1ᵃ semana (dias 1 a 7),Formação Arena,Formação Arena - Theo,8,1,2,1,1,
4/6/2025 20:25:06,1ᵃ semana (dias 1 a 7),Peregrinos,Peregrinos - Gabriel,0,0,1,1,0,
4/6/2025 20:25:11,1ᵃ semana (dias 1 a 7),Peregrinos,Peregrinos - Rodrigo,0,0,10,2,0,
4/6/2025 20:26:10,1ᵃ semana (dias 1 a 7),Formação Arena,Formação Arena - Rafaela,10,0,4,5,5,
4/6/2025 20:28:51,1ᵃ semana (dias 1 a 7),Samuel e Simone,Samuel/Simone - Rayana,7,0,1,1,0,
4/6/2025 20:36:45,1ᵃ semana (dias 1 a 7),Formação Arena,Formação Arena - Felipe,0,0,0,0,5,
